Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=PARTNO~String~PARTNO~100|Field=PartType~String~PartType~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~172|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~qfc_Alfa1.0.PrjPcb|ReportField=ProjectFullPath~E:\PCB_Board\qfc_hardware\qfc_Alfa1.0\qfc_Alfa1.0.PrjPcb|ReportField=Title~Bill of Materials For Project [qfc_Alfa1.0.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~216|ReportField=ReportTime~17:50:30|ReportField=ReportDate~2017/7/22|ReportField=ReportDateTime~2017/7/22 17:50:30|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2017/7/22|ReportField=CurrentTime~17:40:39|ReportField=Date~2017/06/29|ReportField=DocumentFullPathAndName~E:\PCB_Board\qfc_hardware\qfc_Alfa1.0\sch\top.SchDoc|ReportField=DocumentName~top.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~ÿ¡‘¿ˆŒ|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2017/7/18|ReportField=Organization~|ReportField=ProjectName~qfc_Alfa1.0.PrjPcb|ReportField=Revision~Alfa 0.1|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~6|ReportField=Time~19:01|ReportField=Title~Your title|ReportField=DataSourceFileName~qfc_Alfa1.0.PrjPcb|ReportField=DataSourceFullPath~E:\PCB_Board\qfc_hardware\qfc_Alfa1.0\qfc_Alfa1.0.PrjPcb
Kyocera KNH16C104DA5TS EMI filter|FILTER CAP 0.1UF 2A 25V 0603|L200, L201, L500, L501, L502|KYOCERA-KNH16-DA|KNH16C104DA5TS|KNH16C104DA5TS|Kyocera KNH16C104DA5TS EMI filter|478-6878-1-ND|5
47uH|FIXED IND 47UH 170MA 4.81 OHM|L400|0805-IND|INDUCTOR0805|MLZ2012M470W|47uH|445-17079-1-ND|1
0u1|CAP CER 2.2UF 16V 10% X6S 0603|C200, C202, C204, C206, C208, C212, C216, C300, C302, C305, C309, C400, C500, C501, C502, C503, C600, C601, C602, C605, C606, C607, C608|0603-CAP|CAP0603|C1608X6S1C225K080AC|0u1|445-7438-1-ND|23
0u47|CAP CER 2.2UF 16V 10% X6S 0603|C310, C402|0603-CAP|CAP0603|C1608X6S1C225K080AC|0u47|445-7438-1-ND|2
10n|CAP CER 2.2UF 16V 10% X6S 0603|C210, C221, C303, C307|0603-CAP|CAP0603|C1608X6S1C225K080AC|10n|445-7438-1-ND|4
10u|CAP CER 2.2UF 16V 10% X6S 0603|C301, C308, C311|0603-CAP|CAP0603|C1608X6S1C225K080AC|10u|445-7438-1-ND|3
1u|CAP CER 2.2UF 16V 10% X6S 0603|C205, C219, C401|0603-CAP|CAP0603|C1608X6S1C225K080AC|1u|445-7438-1-ND|3
2u2|CAP CER 2.2UF 16V 10% X6S 0603|C218, C304, C306, C603, C604|0603-CAP|CAP0603|C1608X6S1C225K080AC|2u2|445-7438-1-ND|5
5n6|CAP CER 2.2UF 16V 10% X6S 0603|C403|0603-CAP|CAP0603|C1608X6S1C225K080AC|5n6|445-7438-1-ND|1
8p|CAP CER 2.2UF 16V 10% X6S 0603|C 600, C 601|0603-CAP|CAP0603|C1608X6S1C225K080AC|8p|445-7438-1-ND|2
100u|CAP CER 100UF 10V 20% X5R 1206|C201, C203, C211, C214, C215|1206-CAP|CAP1206|C3216X5R1A107M160AC|100u|445-6007-1-ND|5
FM25V01|IC FRAM 128KBIT 40MHZ 8SOIC|U601|SO08|FM25V01|FM25V01-G|FM25V01|428-3211-ND|1
BQ24315|IC LI+ CHARGER FRONT END 8SON|U204, U205|QFN8-DSG|BQ24315||BQ24315|296-32030-1-ND|2
TXS0108QFN20|IC XLATR VOLT-LVL 8B BDIR 20QFN|U500, U501|QFN20-RGY|TXS0108QFN20|TXS0108ERGYR|TXS0108QFN20|296-24806-1-ND|2
BQ24313|IC LI+ CHARGER FRONT END 8-SON|U207|QFN8-DSG|BQ24313|BQ24313DSGT|BQ24313|296-23933-1-ND|1
L3GD20|Sensor, Low-power, Three-axis, Angular rate|U301|L3GD20|L3GD20||L3GD20|73T0644|1
2908-05WB-MG|CONN MICRO SD CARD PUSH-PUSH R/A|U504|MICROSD|MICROSDSDI|2908-05WB-MG|2908-05WB-MG|3M5607CT-ND|1
DF13C-5P-1.25V|DF13C-5P-1.25V, 1.25mm|J507, J508|1.25-5P|DF13C-5P-1.25V||DF13C-5P-1.25V||2
HDR 3X1|Header 3X1 pins|J400, J502, J503, J505|HDR3X1H|HDR 3X1||HDR 3X1||4
HDR 3X2|Header 3X2 pins|J500|HDR3X2H|HDR 3X2||HDR 3X2||1
HDR 3X9|Header 3X9 pins|J501|HDR3X9H|HDR 3X9||HDR 3X9||1
HDR 4X1|Header 4X1|J506|HDR4X1|HDR 4X1||HDR 4X1||1
HDR 4X3|Header 4X3|J504|HDR4X3|HDR 4X3||HDR 4X3||1
Header 2H|Header, 2-Pin, Right Angle|P400|HDR1X2H|Header 2H||Header 2H||1
IRF7324|MOSFET 2P-CH 20V 2.9A CHIPFET|U200, U202, U203|SO08|PMOSFET-DUAL||IRF7324||3
LRTB GFTG-T7AW-1+V7A7-29+R5T9-49-L|Muti LEDs|U400|P-LCC-6|MULTI-LEDS||LRTB GFTG-T7AW-1+V7A7-29+R5T9-49-L||1
LTC4417IGN|Selects Highest Priority Supply from Three Inputs|U206|SSOP-24_GN|LTC4417IGN#TRPBF||LTC4417IGN||1
MOUNT-HOLE1.8MM||M100, M101, M102, M103|HOLE-3mm|MOUNT-HOLE1.8MM||MOUNT-HOLE1.8MM||4
MS621FE|MS Lithium Rechargeable Battery|B600|MS621FE|MS621FE||MS621FE||1
PAD.04||!VBUS_VALID, !VDD_BRICK_VALID, !VDD_SERVO_VALID, FMU-BOOT0, FMU-VDD_3V3, GND., IO-VDD_5V5, PRESSURE_SENS_IN, S1RX, S1TX, S2RX, S2TX, S3RX, S3TX, S4RX, S4TX, VBUS, VDD_3V3_SENSORS, VDD_5V_BRICK, VDD_5V_HIPOWER, VDD_5V_IN, VDD_5V_PERIPH, VDD_SENSOR|PAD.04X.04|PAD.04||PAD.04||23
STM32F4X7VX 100 pin|REV 3 Silicon or later IC MCU ARM 2MB FLASH 100LQFP|U600|TQFP100|STM32F4X7VX_1||STM32F4X7VX 100 pin||1
TCA62724|3-Channel Constant-Current LED Driver|U401|SON10|TCA62724||TCA62724||1
